Aspada	Napumsaka
AsPowa	Pum
AsPowanI	Stri
AsPowA	Stri
Asya	Napumsaka
AsyA	Stri
Asrava	Pum
Ahata	Napumsaka
Ahava	Pum
AhavanIya	Pum
AhAra	Pum
AhAva	Pum
AhopuruzikA	Stri
Ahvaya	Pum
AhvA	Stri
AhvAna	Napumsaka
i	Pum
ikzu	Pum
ikzuganDA	Stri
ikzura	Pum
ikzvAku	Stri
iNgita	Napumsaka
iNgudI	Stri
icCA	Stri
icCAvatI	Stri
ijyASIla	Pum
iwcara	Pum
iqA	Stri
itara	Pum
itara	Napumsaka
itarA	Stri
itihAsa	Pum
itvarI	Stri
idakam	Pum
idam	Pum
idam	Stri
idam	Napumsaka
iDma	Napumsaka
ina	Pum
indirA	Stri
indIvara	Napumsaka
indIvarI	Stri
indu	Pum
indra	Pum
indradru	Pum
indrayava	Napumsaka
indraluptaka	Napumsaka
indravAruRI	Stri
indrasurasa	Pum
indrARikA	Stri
indrARI	Stri
indrAyuDa	Napumsaka
indrAri	Pum
indrAvaraja	Pum
indriya	Napumsaka
indriyArTa	Pum
inDana	Napumsaka
iBa	Pum
iBya	Pum
iyat	Pum
iyat	Napumsaka
irammada	Pum
irA	Stri
ilA	Stri
ilvalA	Stri
iza	Pum
izu	Pum
izu	Stri
izuDi	Pum
izuDi	Stri
izwa	Napumsaka
izwakApaTa	Napumsaka
izwaganDa	Pum
izwi	Stri
izvAsa	Pum
IkzaRa	Napumsaka
IkzaRikA	Stri
Iti	Stri
IdfS	Pum
Irma	Napumsaka
IrvAru	Pum
IrvAru	Stri
IrzyA	Stri
IlI	Stri
ISa	Pum
ISA	Stri
ISAna	Pum
ISitf	Pum
ISitva	Napumsaka
ISvara	Pum
ISvarI	Stri
IzatpARqu	Pum
IzikA	Stri
IhA	Stri
IhAmfga	Pum
u	Pum
ukti	Stri
ukzan	Pum
uKA	Stri
ugra	Pum
ugraganDA	Stri
uccawA	Stri
uccAra	Pum
uccErGuzwa	Napumsaka
uccEHSravas	Pum
ucCraya	Pum
ucCrAya	Pum
ujjAsana	Napumsaka
ujjvala	Pum
uYCaSila	Napumsaka
uwaja	Pum
uwaja	Napumsaka
uqu	Stri
uqu	Napumsaka
uqupa	Napumsaka
uqqIna	Napumsaka
utkawa	Napumsaka
utkaRWA	Stri
utkara	Pum
utkarza	Pum
utkalikA	Stri
utkAra	Pum
utkroSa	Pum
uttapta	Napumsaka
uttamarRa	Pum
uttamA	Stri
uttamANga	Napumsaka
uttara	Pum
uttara	Napumsaka
uttara	Napumsaka
uttarapaScimA	Stri
uttarapUrvA	Stri
uttarA	Stri
uttarAsaNga	Pum
uttarIya	Napumsaka
uttaMsa	Pum
uttAnaSayA	Stri
utTAna	Napumsaka
utpatitf	Pum
utpatitf	Napumsaka
utpatizRu	Pum
utpatizRu	Napumsaka
utpatti	Stri
utpala	Napumsaka
utpalaSArivA	Stri
utpAta	Pum
utsa	Pum
utsarjana	Napumsaka
utsava	Pum
utsAdana	Napumsaka
utsAha	Pum
utsAhavarDana	Pum
utseDa	Pum
udaka	Napumsaka
udakyA	Stri
udac	Pum
udaja	Pum
udaDi	Pum
udanta	Pum
udanyA	Stri
udanvat	Pum
udapAna	Pum
udapAna	Napumsaka
udaya	Pum
udara	Napumsaka
udarka	Pum
udavasita	Napumsaka
udaSvit	Napumsaka
udAtta	Pum
udAna	Pum
udAsIna	Pum
udAhAra	Pum
udIcI	Stri
udIcya	Napumsaka
udIcya	Pum
udumbara	Napumsaka
udumbara	Pum
udumbaraparRI	Stri
udUKala	Napumsaka
udgamanIya	Napumsaka
udgAQa	Napumsaka
udgAtf	Pum
udgAra	Pum
udgrAha	Pum
udGana	Pum
udGAwana	Napumsaka
uddAna	Napumsaka
uddAla	Pum
uddrAva	Pum
udDa	Pum
udDarza	Pum
udDava	Pum
udDAta	Pum
udDAna	Napumsaka
udDAra	Pum
udBava	Pum
udBid	Pum
udBid	Napumsaka
udBrama	Pum
udyama	Pum
udyAna	Napumsaka
udra	Pum
udvartana	Napumsaka
udvAnta	Pum
udvAsana	Napumsaka
udvAha	Pum
udvega	Napumsaka
udvega	Pum
undura	Pum
unduru	Pum
unnaya	Pum
unnAya	Pum
unnI	Pum
unmatta	Pum
unmadizRu	Pum
unmadizRu	Napumsaka
unmanas	Pum
unmanas	Napumsaka
unmATa	Pum
unmAda	Pum
unmAdana	Napumsaka
unmAdavat	Pum
unmAdavat	Napumsaka
upakArikA	Stri
upakAryA	Stri
upakuYcikA	Stri
upakuMYcikA	Stri
upakulyA	Stri
upakrama	Pum
upakroSa	Pum
upagUhana	Napumsaka
upagraha	Pum
upagrAhya	Napumsaka
upaGna	Pum
upacAyya	Pum
upacitrA	Stri
upajApa	Pum
upajIvin	Pum
upajYA	Stri
upataptf	Pum
upatApa	Pum
upatyakA	Stri
upadA	Stri
upaDA	Stri
upaDAna	Napumsaka
upaDi	Pum
upanAha	Pum
upaniDi	Pum
upanizad	Stri
upanizkara	Napumsaka
upanyAsa	Pum
upapati	Pum
upaplava	Pum
upabarha	Pum
upaBft	Stri
upaBoga	Pum
upamA	Stri
upamAna	Napumsaka
upayama	Pum
upayAma	Pum
upayogin	Pum
uparakta	Pum
uparakzaRa	Napumsaka
uparAga	Pum
